timestamp,x_px,y_px,z_mm,point_id,sequence_id
1751004648.8052766,518,157,759.0,P1,7
1751004648.8268945,478,214,683.0,P1,7
1751004648.8602896,481,265,632.0,P1,7
1751004648.8934686,466,296,485.0,P1,7
1751004648.928542,456,317,495.0,P1,7
1751004648.9601984,448,331,505.0,P1,7
1751004648.9935818,443,341,510.0,P1,7
1751004649.0272927,439,347,517.0,P1,7
1751004649.060352,437,351,521.0,P1,7
1751004649.0936148,436,354,523.0,P1,7
1751004649.127437,433,357,528.0,P1,7
1751004649.1608264,427,359,534.0,P1,7
1751004649.193762,426,362,533.0,P1,7
1751004649.2287774,425,363,531.0,P1,7
1751004649.2610896,425,363,533.0,P1,7
1751004649.2942307,425,363,535.0,P1,7
1751004649.3277886,425,362,534.0,P1,7
1751004649.3633976,425,363,535.0,P1,7
1751004649.3941078,425,363,534.0,P1,7
1751004649.4277613,425,363,534.0,P1,7
1751004649.461294,424,363,533.0,P1,7
1751004649.494599,425,363,534.0,P1,7
1751004649.529014,425,363,534.0,P1,7
1751004649.565394,425,363,534.0,P1,7
1751004649.5978434,425,363,533.0,P1,7
1751004649.6267242,425,363,534.0,P1,7
1751004649.6648717,426,362,533.0,P1,7
1751004649.693549,427,359,531.0,P1,7
1751004649.7270105,429,354,527.0,P1,7
1751004649.755378,430,347,523.0,P1,7
1751004649.7975926,433,338,526.0,P1,7
1751004649.8649302,442,307,488.0,P1,7
1751004649.897109,445,290,593.0,P1,7
1751004649.9314904,447,268,612.0,P1,7
1751004649.96099,453,243,639.0,P1,7
1751004649.9943728,461,216,674.0,P1,7
1751004650.0247507,467,184,768.0,P1,7
1751004650.0564106,475,151,754.0,P1,7
1751004650.0932367,484,116,735.0,P1,7
1751004650.1310291,493,76,718.0,P1,7
1751004650.1554768,498,32,694.0,P1,7
1751004651.2300265,560,97,704.0,P1,8
1751004651.2633216,490,171,430.0,P1,8
1751004651.296192,476,215,452.0,P1,8
1751004651.3294597,483,280,615.0,P1,8
1751004651.3633091,465,315,492.0,P1,8
1751004651.399042,450,339,515.0,P1,8
1751004651.4298868,435,354,526.0,P1,8
1751004651.4629736,424,364,530.0,P1,8
1751004651.5007603,427,366,530.0,P1,8
