timestamp,x_px,y_px,z_mm,point_id,sequence_id
1751004643.8883111,476,282,475,P1,5
1751004643.921505,461,299,488,P1,5
1751004643.9551842,448,313,497,P1,5
1751004643.9886305,439,326,503,P1,5
1751004644.0277328,433,336,510,P1,5
1751004644.0552049,430,344,515,P1,5
1751004644.0886874,429,351,519,P1,5
1751004644.122016,429,357,525,P1,5
1751004644.1550906,427,359,526,P1,5
1751004644.1944702,425,363,529,P1,5
1751004644.2220278,425,364,531,P1,5
1751004644.2632535,425,364,530,P1,5
1751004644.288455,425,364,528,P1,5
1751004644.3299172,425,364,530,P1,5
1751004644.3555863,424,363,531,P1,5
1751004644.388565,424,363,531,P1,5
1751004644.4270415,425,363,530,P1,5
1751004644.4558568,424,363,531,P1,5
1751004644.4886103,424,362,530,P1,5
1751004644.5223272,424,362,529,P1,5
1751004644.5649428,424,362,529,P1,5
1751004644.588789,424,362,531,P1,5
1751004644.635794,424,362,532,P1,5
1751004644.6651464,423,363,531,P1,5
1751004644.6880329,423,363,532,P1,5
1751004644.7153897,422,363,531,P1,5
1751004644.751509,423,361,531,P1,5
1751004644.7878966,425,358,524,P1,5
1751004644.8149755,426,350,518,P1,5
1751004644.8626773,431,338,518,P1,5
1751004644.9274156,438,307,479,P1,5
1751004644.9917474,444,270,615,P1,5
1751004645.0553722,448,231,646,P1,5
1751004645.0884151,449,211,676,P1,5
1751004645,451,191,714,P1,5
1751004645.1511128,453,171,790,P1,5
1751004645,454,149,755,P1,5
1751004645.221898,459,128,756,P1,5
1751004645.261218,462,102,745,P1,5
1751004645.2884474,464,70,724,P1,5
1751004646.3402147,541,86,708,P1,6
1751004646.3573728,529,139,736,P1,6
1751004646.3948905,520,180,808,P1,6
1751004646.4302568,506,218,690,P1,6
1751004646.457443,493,253,644,P1,6
1751004646.4908328,481,280,612,P1,6
1751004646.5242774,471,301,594,P1,6
1751004646.5575716,460,318,498,P1,6
1751004646.5930996,452,331,506,P1,6
1751004646.6248438,447,338,513,P1,6
1751004646.6661296,442,345,519,P1,6
1751004646.6910276,437,350,525,P1,6
1751004646.7250772,434,354,530,P1,6
1751004646.7578926,431,356,533,P1,6
1751004646.7912884,427,359,537,P1,6
1751004646.8246002,426,360,535,P1,6
1751004646.857895,425,361,535,P1,6
1751004646.891359,425,361,535,P1,6
1751004646.924646,425,361,536,P1,6
1751004646.9581115,425,361,534,P1,6
1751004646.998403,425,361,533,P1,6
1751004647.0303721,425,363,531,P1,6
1751004647.0586114,425,365,532,P1,6
1751004647.1011343,425,365,532,P1,6
1751004647.1238494,424,364,531,P1,6
1751004647.1533568,424,364,532,P1,6
1751004647,424,364,531,P1,6
1751004647.2171404,425,364,532,P1,6
1751004647.265288,425,364,531,P1,6
1751004647.2970765,425,364,533,P1,6
1751004647,424,363,533,P1,6
1751004647.3633797,426,359,528,P1,6
1751004647.3953032,429,350,520,P1,6
1751004647.4269283,433,339,520,P1,6
1751004647.5225937,447,284,601,P1,6
1751004647.5543814,452,259,622,P1,6
1751004647.591883,459,232,652,P1,6
1751004647.634937,464,203,689,P1,6
1751004647.666883,469,173,793,P1,6
1751004647.698393,476,139,751,P1,6
1751004647.7304854,481,107,731,P1,6
1751004647.7623487,488,75,720,P1,6
1751004647.7940502,496,44,699,P1,6
1751004648.7275276,505,5,672,P1,7
1751004648.8052766,518,157,759,P1,7
1751004648.8268945,478,214,683,P1,7
1751004648.8602896,481,265,632,P1,7
1751004648.8934686,466,296,485,P1,7
1751004648.928542,456,317,495,P1,7
1751004648.9601984,448,331,505,P1,7
1751004648.9935818,443,341,510,P1,7
1751004649.0272927,439,347,517,P1,7
1751004649.060352,437,351,521,P1,7
1751004649.0936148,436,354,523,P1,7
1751004649.127437,433,357,528,P1,7
1751004649.1608264,427,359,534,P1,7
1751004649.193762,426,362,533,P1,7
1751004649.2287774,425,363,531,P1,7
1751004649.2610896,425,363,533,P1,7
1751004649.2942307,425,363,535,P1,7
1751004649.3277886,425,362,534,P1,7
1751004649.3633976,425,363,535,P1,7
1751004649.3941078,425,363,534,P1,7
1751004649.4277613,425,363,534,P1,7
1751004649.461294,424,363,533,P1,7
1751004649.494599,425,363,534,P1,7
1751004649.529014,425,363,534,P1,7
1751004649.565394,425,363,534,P1,7
1751004649.5978434,425,363,533,P1,7
1751004649.6267242,425,363,534,P1,7
1751004649.6648717,426,362,533,P1,7
1751004649.693549,427,359,531,P1,7
1751004649.7270105,429,354,527,P1,7
1751004649.755378,430,347,523,P1,7
1751004649.7975926,433,338,526,P1,7
1751004649.8649302,442,307,488,P1,7
1751004649.897109,445,290,593,P1,7
1751004649.9314904,447,268,612,P1,7
1751004650,453,243,639,P1,7
1751004649.9943728,461,216,674,P1,7
1751004650.0247507,467,184,768,P1,7
1751004650.0564106,475,151,754,P1,7
1751004650.0932367,484,116,735,P1,7
1751004650.1310291,493,76,718,P1,7
1751004650.1554768,498,32,694,P1,7
1751004651.2300265,560,97,704,P1,8
1751004651.2633216,490,171,430,P1,8
1751004651.296192,476,215,452,P1,8
1751004651.3294597,483,280,615,P1,8
1751004651.3633091,465,315,492,P1,8
1751004651.399042,450,339,515,P1,8
1751004651.4298868,435,354,526,P1,8
1751004651.4629736,424,364,530,P1,8
1751004651.5007603,427,366,530,P1,8
1751004651.5301685,426,366,530,P1,8
1751004651.5696886,426,365,530,P1,8
1751004651.5964851,427,365,531,P1,8
1751004651.6361823,426,365,530,P1,8
1751004651.6636233,426,365,531,P1,8
